image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wF14_t1_m14_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14672.09027322907,0.0,p1_wF14_t1_m14
p1_wF14_t1_m14_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14672.09027322907,0.0,p1_wF14_t1_m14
p1_wF14_t1_m14_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14672.09027322907,0.0,p1_wF14_t1_m14
p1_wF14_t1_m14_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14672.09027322907,0.0,p1_wF14_t1_m14
p1_wF14_t1_m14_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14672.09027322907,0.0,p1_wF14_t1_m14
p1_wF14_t1_m15_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39681.242110395586,14672.09027322907,0.0,p1_wF14_t1_m15
p1_wF14_t1_m15_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39681.242110395586,14672.09027322907,0.0,p1_wF14_t1_m15
p1_wF14_t1_m15_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39681.242110395586,14672.09027322907,0.0,p1_wF14_t1_m15
p1_wF14_t1_m15_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39681.242110395586,14672.09027322907,0.0,p1_wF14_t1_m15
p1_wF14_t1_m15_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39681.242110395586,14672.09027322907,0.0,p1_wF14_t1_m15
p1_wF14_t1_m16_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39374.48111039558,14672.09027322907,0.0,p1_wF14_t1_m16
p1_wF14_t1_m16_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39374.48111039558,14672.09027322907,0.0,p1_wF14_t1_m16
p1_wF14_t1_m16_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39374.48111039558,14672.09027322907,0.0,p1_wF14_t1_m16
p1_wF14_t1_m16_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39374.48111039558,14672.09027322907,0.0,p1_wF14_t1_m16
p1_wF14_t1_m16_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39374.48111039558,14672.09027322907,0.0,p1_wF14_t1_m16
p1_wF14_t1_m17_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39067.719110395585,14672.09027322907,0.0,p1_wF14_t1_m17
p1_wF14_t1_m17_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39067.719110395585,14672.09027322907,0.0,p1_wF14_t1_m17
p1_wF14_t1_m17_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39067.719110395585,14672.09027322907,0.0,p1_wF14_t1_m17
