donor,well,fov,id,umap_x,umap_y
AML1_M2,B2,212,1,-2.8842614,5.8713856
AML1_M2,B2,196,24,3.772585,-0.9969193
AML1_M2,B2,230,16,-0.24668138,5.64191
AML1_M2,H2,129,1,-1.0727029,5.689035
AML1_M2,B2,76,9,-1.4324961,5.6947875
AML1_M2,J2,60,14,1.0829881,-2.1501899
AML1_M2,B2,47,8,-1.0977623,5.5433426
AML1_M2,D2,222,14,-0.56084275,7.500586
AML1_M2,F2,81,14,-2.2808375,5.3342924
AML1_M2,F2,94,12,2.5044527,2.908652
AML1_M2,B2,183,12,-2.1638663,5.491852
AML1_M2,H2,206,10,-1.2355838,5.1431737
AML1_M2,J2,21,9,2.6951447,5.70667
AML1_M2,D2,32,13,-1.3572094,-3.4764862
AML1_M2,F2,67,3,0.124253415,5.660866
AML1_M2,B2,147,17,-1.3563216,6.80018
AML1_M2,D2,7,3,-2.2051468,5.196585
AML1_M2,F2,208,8,-2.3456533,5.4999733
AML1_M2,F2,95,10,-0.27093685,5.8872886
AML1_M2,J2,155,10,-0.16499117,3.8632777
AML1_M2,F2,173,1,1.3736457,2.1915562
AML1_M2,B2,224,11,0.72658944,8.022186
AML1_M2,H2,42,1,0.5183535,6.160036
AML1_M2,F2,239,22,-2.0778236,-2.5213425
AML1_M2,F2,145,5,-2.4350297,5.5170484
AML1_M2,J2,65,6,-0.827299,4.7089252
AML1_M2,F2,54,14,-1.1456984,5.113746
AML1_M2,H2,20,5,0.32731202,-1.326475
AML1_M2,B2,100,3,-0.19764587,6.578247
AML1_M2,F2,138,14,-2.308346,5.23333
AML1_M2,F2,56,20,-1.649163,5.4980793
AML1_M2,B2,141,9,1.8806139,1.8633193
AML1_M2,F2,131,4,0.59993553,4.096116
AML1_M2,D2,193,18,0.51423246,3.1837566
AML1_M2,F2,58,2,0.3386119,5.124394
AML1_M2,B2,220,12,0.28792524,6.1450763
AML1_M2,D2,100,16,-1.1614844,5.670421
AML1_M2,F2,144,9,-1.9666749,5.279679
AML1_M2,H2,244,7,-1.7814264,5.706999
AML1_M2,B2,192,4,-2.7541199,5.678758
AML1_M2,D2,19,17,0.57325286,6.002829
AML1_M2,J2,228,7,-0.90907586,5.6230636
AML1_M2,D2,222,5,-2.2358835,5.65412
AML1_M2,J2,137,23,-0.43073845,0.052127786
AML1_M2,F2,166,15,-1.0442541,5.564743
AML1_M2,D2,190,7,-2.3644822,5.52375
AML1_M2,F2,53,23,-1.6648161,5.1582804
AML1_M2,F2,54,19,3.3976152,9.362623
AML1_M2,B2,146,23,3.0750973,7.237903
AML1_M2,B2,143,26,-1.2539319,3.6589742
AML1_M2,B2,12,2,-1.0311706,5.9066477
AML1_M2,F2,114,8,-1.6170627,5.5398765
AML1_M2,B2,43,13,-1.172315,5.713994
AML1_M2,F2,172,13,-1.8050443,3.8972917
AML1_M2,B2,226,33,6.793314,4.3323817
AML1_M2,F2,52,19,-0.9323778,5.3957095
AML1_M2,F2,81,11,-1.8674517,5.6276813
AML1_M2,F2,169,8,-1.5793816,5.296456
AML1_M2,F2,127,17,-1.4275693,5.479694
AML1_M2,D2,15,4,-1.3360415,5.2154474
AML1_M2,B2,78,3,-1.8148017,5.6428466
AML1_M2,F2,118,7,-1.9520309,4.9477243
AML1_M2,F2,85,25,-1.8998688,-1.9464015
AML1_M2,J2,213,5,-2.745032,5.6908507
AML1_M2,D2,161,15,2.6925128,1.8260646
AML1_M2,H2,115,5,-1.0995479,5.22879
AML1_M2,H2,109,9,-1.2139584,4.6382504
AML1_M2,B2,187,21,1.5006882,2.239029
AML1_M2,D2,21,2,-0.15069398,5.55587
AML1_M2,D2,156,30,3.586742,-0.8389212
AML1_M2,B2,103,1,-1.1793399,5.78362
AML1_M2,D2,207,3,-1.7515682,-1.7243985
AML1_M2,J2,53,19,-0.5226149,-2.830148
AML1_M2,B2,31,5,1.4145697,5.7912073
AML1_M2,J2,118,2,3.079725,7.516219
AML1_M2,B2,239,12,-2.042674,5.655717
AML1_M2,F2,91,8,0.34917772,5.9819927
AML1_M2,J2,141,12,1.4287127,2.1693082
AML1_M2,J2,33,6,-0.65452003,5.5008454
AML1_M2,J2,46,2,0.41842842,6.263431
AML1_M2,J2,112,4,-1.0988253,5.4990616
AML1_M2,D2,108,19,0.5665562,-1.096934
AML1_M2,J2,51,7,-1.436715,5.317336
AML1_M2,D2,95,13,-2.2490504,5.6952558
AML1_M2,D2,164,5,-1.3616769,5.809247
AML1_M2,B2,70,6,2.1917856,2.3078744
AML1_M2,H2,77,6,-1.345131,5.933931
AML1_M2,D2,95,7,-2.2961242,3.7292876
AML1_M2,B2,114,20,-1.4961826,5.592186
AML1_M2,H2,159,9,-1.2074134,5.4168544
AML1_M2,J2,184,2,-2.6905522,5.820357
AML1_M2,J2,29,1,0.70203424,5.7967987
AML1_M2,B2,198,13,-2.2605731,5.743951
AML1_M2,H2,113,5,-1.6868894,5.6381454
AML1_M2,F2,140,1,-2.3634682,5.286333
AML1_M2,F2,113,21,3.7120404,9.350448
AML1_M2,J2,180,7,-2.6603148,5.7226353
AML1_M2,F2,6,12,-1.4954051,5.4071183
AML1_M2,H2,215,8,1.4949687,2.2208784
AML1_M2,F2,102,6,-0.91162276,5.5332246
AML1_M2,F2,179,14,-2.2698715,5.5389395
AML1_M2,B2,206,16,-2.7742498,5.6194615
AML1_M2,F2,68,26,-1.5169015,5.378618
AML1_M2,B2,73,34,-1.1888069,-1.2276216
AML1_M2,D2,95,16,3.1923904,-0.66345453
AML1_M2,B2,106,16,0.24852763,2.7211263
AML1_M2,F2,160,23,-1.2430359,5.1087675
AML1_M2,D2,24,4,0.575967,5.9888663
AML1_M2,B2,47,1,-1.0116774,5.8523703
AML1_M2,B2,79,37,-1.6512234,6.1193886
AML1_M2,F2,210,5,-2.4705734,5.709379
AML1_M2,H2,64,8,-1.6849403,5.545452
AML1_M2,F2,5,3,-2.1710463,5.560069
AML1_M2,D2,137,1,-2.6651764,5.889598
AML1_M2,J2,15,2,0.6266008,5.8623214
AML1_M2,F2,103,13,0.33277214,5.3019915
AML1_M2,D2,85,4,0.27095032,4.038914
AML1_M2,F2,79,32,0.20709369,2.3247204
AML1_M2,F2,237,21,0.10165795,4.616124
AML1_M2,J2,151,14,-1.9578024,4.2331886
AML1_M2,F2,62,26,3.5210335,-1.268404
AML1_M2,B2,70,3,-1.2524598,5.425456
AML1_M2,D2,234,12,-2.6545932,5.8301473
AML1_M2,F2,212,9,-2.3949015,5.585545
AML1_M2,J2,154,6,0.02659576,5.8040667
AML1_M2,F2,131,9,-1.8429852,5.70371
AML1_M2,B2,31,15,1.3496532,8.594458
AML1_M2,J2,15,19,-1.1559749,5.2111435
AML1_M2,D2,240,1,-2.4767761,5.928077
AML1_M2,B2,74,2,-1.5116426,4.536168
AML1_M2,H2,244,8,-1.9995737,4.687801
AML1_M2,H2,188,20,1.711298,2.1727667
AML1_M2,H2,149,8,-1.6532085,5.5129147
AML1_M2,J2,61,2,-0.4765139,5.721083
AML1_M2,D2,131,6,-2.4754903,5.6544013
